Date,Temperature,Humidity,Rainfall
15-01-2010,32.48357077,76.59969709,179.5975453
15-02-2010,29.30867849,47.80093202,46.7983561
15-03-2010,37.89606408,41.02922471,290.9729556
15-04-2010,33.83717365,81.62213204,63.7017332
15-05-2010,27.68291154,55.21211215,157.4269295
15-06-2010,27.67135123,61.59725093,87.36874206
15-07-2010,24.9358444,54.60723243,109.908553
15-08-2010,31.57123666,62.80349921,235.5527884
15-09-2010,30.33764102,69.62072844,13.93512382
15-10-2010,22.87625907,70.3772426,51.15723711
15-11-2010,26.99680655,74.21165133,132.0457481
15-12-2010,28.54153125,46.10191174,148.553073
15-01-2011,34.11272456,55.5855538,156.0204064
15-02-2011,23.89578175,67.33551397,55.45633666
15-03-2011,33.6923329,44.4246251,58.79485873
15-04-2011,30.85684141,42.26136445,97.59909923
15-05-2011,22.60739005,81.43687546,107.025998
15-06-2011,26.40077896,54.04672548,162.8088249
15-07-2011,31.62041985,43.72753218,296.066081
15-08-2011,28.0745886,78.61223846,59.61470446
15-09-2011,35.15499761,78.56351733,22.21339552
15-10-2011,34.6564006,57.92328643,34.76071786
15-11-2011,31.65631716,56.54490124,19.06750509
15-12-2011,34.87772564,55.54911609,97.55499661
15-01-2012,34.06262911,84.36063713,141.6644775
15-02-2012,36.78120014,45.9797123,213.9734362
15-03-2012,31.80697803,78.548359,148.1386789
15-04-2012,37.69018283,66.13664147,128.2623055
15-05-2012,30.43523534,55.71779905,152.5712073
15-06-2012,28.50496325,85.3783237,74.78766874
15-07-2012,37.38947022,51.43990827,23.09397295
15-08-2012,27.40864891,54.48757265,48.36638618
15-09-2012,34.57701059,80.18360384,55.97101767
15-10-2012,31.64375555,84.62794992,161.8026726
15-11-2012,26.48973453,51.39675813,128.1323366
15-12-2012,28.36168927,80.9007383,258.219175
15-01-2013,30.02556728,60.87055016,66.63234314
15-02-2013,28.82706433,45.99326837,101.2845514
15-03-2013,29.19357144,65.93953109,210.9056877
15-04-2013,32.02025428,58.18148012,291.5346248
15-05-2013,20.40614392,54.24202472,11.06608421
15-06-2013,29.86743062,70.4782167,150.803707
15-07-2013,29.03819518,47.2447436,146.8358281
15-08-2013,31.50773671,89.28252271,72.61658145
15-09-2013,35.71411407,51.8818772,218.4649046
15-10-2013,33.75966516,58.38915664,189.6917492
15-11-2013,32.93428547,44.5144885,250.5907487
15-12-2013,40.95227813,56.03900325,55.95555312
15-01-2014,30.49825683,73.87821809,4.976348678
15-02-2014,27.48262173,65.60465291,67.94873256
15-03-2014,24.68848143,74.54688691,116.0206039
15-04-2014,32.36796215,86.83649944,41.25628324
15-05-2014,26.08373354,86.23468091,263.201806
15-06-2014,28.38969242,52.89708139,197.9952138
15-07-2014,31.13729967,66.48252892,72.55568727
15-08-2014,36.53571377,44.65513839,269.1647274
15-09-2014,31.29941397,56.95148955,104.7628724
15-10-2014,33.90911436,76.29778394,269.133078
15-11-2014,31.25246425,72.10158231,25.2419895
15-12-2014,31.73224105,48.0814357,269.5662566
15-01-2015,31.46536237,40.25307919,48.24241543
15-02-2015,26.42824291,67.43668947,207.5685593
15-03-2015,24.04348251,75.60896107,71.17472625
15-04-2015,33.28276804,56.26998491,223.9474215
15-05-2015,34.81688065,72.88064462,170.492581
15-06-2015,32.06390463,44.68373839,110.3147409
15-07-2015,25.55242785,88.65052774,117.9293174
15-08-2015,25.92094858,84.60232776,189.3415878
15-09-2015,30.06500946,68.84519423,147.7553081
15-10-2015,37.26767039,49.76214939,216.7356346
15-11-2015,24.64553751,87.02292922,286.1785731
15-12-2015,32.41236208,85.74321951,111.0476101
15-01-2016,32.36618812,88.18099885,255.9028366
15-02-2016,29.63585544,54.7224446,115.5293186
15-03-2016,27.76742524,48.47463733,167.0403787
15-04-2016,34.28199397,86.80773871,208.808939
15-05-2016,25.58071282,70.75036133,297.016155
15-06-2016,30.76862553,47.00420076,155.4988957
15-07-2016,31.7889368,74.85078705,210.7452252
15-08-2016,32.80392263,57.97455756,88.07755328
15-09-2016,32.57517634,83.35361593,273.9721658
15-10-2016,32.56892975,65.56711994,150.4548884
15-11-2016,32.85445255,75.09834386,238.7378008
15-12-2016,35.6778282,84.50026709,101.3985471
15-01-2017,26.13587393,68.91400705,10.78268214
15-02-2017,28.81590697,63.27990091,162.7933904
15-03-2017,33.43130095,41.5250125,11.20445662
15-04-2017,21.93642064,81.13002803,108.0571924
15-05-2017,30.3214001,78.49967765,64.74630825
15-06-2017,24.61127611,71.14452379,25.6042395
15-07-2017,30.2278592,67.03175608,191.2289704
15-08-2017,26.74199826,76.30456669,292.7556238
15-09-2017,19.87428707,79.75930974,81.24967538
15-10-2017,30.93227157,61.94857104,23.5369144
15-11-2017,32.52493639,60.44764722,51.98829602
15-12-2017,34.32877597,47.82185213,75.07286945
15-01-2018,38.8272712,73.00986884,83.98016908
15-02-2018,32.02490855,87.74326403,221.369075
15-03-2018,40.61078099,60.98000312,74.31929685
15-04-2018,35.1623263,57.79863393,227.3538331
15-05-2018,32.21909714,63.70869145,29.3502482
15-06-2018,33.87317027,64.58079376,142.0415312
15-07-2018,28.73715924,59.92523672,184.7550294
15-08-2018,23.76108409,71.75468254,13.59120293
15-09-2018,37.20636645,65.15681293,256.9469524
15-10-2018,22.82068924,72.93468158,48.88032812
15-11-2018,30.99529848,41.32556553,175.7326744
15-12-2018,26.99891561,87.01151207,172.6422534
15-01-2019,37.93008408,62.91264452,163.6850368
15-02-2019,23.81092251,87.07324044,115.8307913
15-03-2019,31.40495934,43.55943242,95.69268909
15-04-2019,26.8865024,82.24376555,6.981580721
15-05-2019,27.05317622,45.90824138,209.0211496
15-06-2019,34.24801049,71.44714234,263.2416041
15-07-2019,34.06431059,54.10172863,53.23186313
15-08-2019,33.14814421,77.53073758,242.0504218
15-09-2019,29.89549203,58.60090429,232.9238882
15-10-2019,30.58663692,57.04017701,279.2271977
15-11-2019,28.91159398,77.54355339,226.3628622
15-12-2019,35.49388426,45.15619344,270.765872
15-01-2020,36.52739404,56.00248005,268.6569685
15-02-2020,30.10501921,59.46008394,3.251295444
15-03-2020,31.62083176,87.53035735,172.0313664
15-04-2020,29.34928473,71.59186061,134.5336566
15-05-2020,24.96991309,73.6259228,225.7123588
15-06-2020,23.92905694,79.57895219,236.8854428
15-07-2020,29.93876614,42.877938,164.8586647
15-08-2020,25.51372814,62.07652507,266.3112548
15-09-2020,25.87251402,47.1495841,228.4531895
15-10-2020,28.39307079,70.91090317,30.33680284
15-11-2020,31.22483286,43.63815032,246.5580178
15-12-2020,27.46528412,75.31211136,24.40463419
15-01-2021,22.75957829,80.63997836,284.1745732
15-02-2021,22.96268113,89.30005319,226.0134556
15-03-2021,26.40777889,78.8573458,167.5212749
15-04-2021,28.93276424,61.21110046,271.9063155
15-05-2021,29.90491896,40.56768224,140.5981926
15-06-2021,24.98735318,42.81516378,35.64537488
15-07-2021,31.6135928,77.30224396,175.0106295
